    1.1 eV    1.993E-03  6.353E-03       1 A         1 A         1 A   
    1.2 eV    1.993E-03  6.718E-03       1 A         1 A         1 A   
    1.3 eV    2.075E-03  7.070E-03       1 A         1 A         1 A   
    1.4 eV    2.153E-03  7.412E-03       1 A         1 A         1 A   
    1.5 eV    2.229E-03  7.744E-03       1 A         1 A         1 A   
    1.6 eV    2.302E-03  8.067E-03       1 A         1 A         1 A   
    1.7 eV    2.373E-03  8.382E-03       1 A         1 A         1 A   
    1.8 eV    2.441E-03  8.689E-03       1 A         1 A         1 A   
      2 eV    2.573E-03  9.283E-03       1 A         1 A         1 A   
   2.25 eV    2.729E-03  9.990E-03       1 A         1 A         1 A   
2.49999 eV    2.877E-03  1.067E-02       1 A         1 A         1 A   
2.74999 eV    3.018E-03  1.131E-02       1 A         1 A         1 A   
2.99999 eV    3.152E-03  1.193E-02       1 A         1 A         1 A   
3.24999 eV    3.280E-03  1.253E-02       1 A         2 A         1 A   
3.49999 eV    3.404E-03  1.311E-02       1 A         2 A         1 A   
3.74999 eV    3.524E-03  1.367E-02       1 A         2 A         1 A   
3.99999 eV    3.639E-03  1.421E-02       1 A         2 A         1 A   
4.49999 eV    3.860E-03  1.526E-02       1 A         2 A         1 A   
4.99999 eV    4.069E-03  1.625E-02       1 A         2 A         1 A   
5.49999 eV    4.267E-03  1.720E-02       1 A         2 A         1 A   
5.99999 eV    4.457E-03  1.810E-02       1 A         2 A         1 A   
6.49999 eV    4.639E-03  1.897E-02       1 A         2 A         2 A   
6.99999 eV    4.814E-03  1.981E-02       1 A         2 A         2 A   
7.99999 eV    5.147E-03  2.141E-02       2 A         2 A         2 A   
8.99999 eV    5.459E-03  2.291E-02       2 A         2 A         2 A   
9.99999 eV    5.754E-03  2.434E-02       2 A         2 A         2 A   
10.9999 eV    6.035E-03  2.569E-02       2 A         3 A         2 A   
11.9999 eV    6.304E-03  2.698E-02       2 A         3 A         2 A   
12.9999 eV    6.561E-03  2.822E-02       2 A         3 A         2 A   
13.9999 eV    6.809E-03  2.940E-02       2 A         3 A         2 A   
14.9999 eV    7.048E-03  3.055E-02       2 A         3 A         2 A   
