    1.1 eV    1.425E-02  9.652E-02    5188 A      2036 A      1030 A   
    1.2 eV    1.425E-02  1.017E-01    5381 A      2117 A      1174 A   
    1.3 eV    1.484E-02  1.068E-01    5564 A      2199 A      1297 A   
    1.4 eV    1.540E-02  1.116E-01    5739 A      2280 A      1405 A   
    1.5 eV    1.594E-02  1.163E-01    5907 A      2361 A      1502 A   
    1.6 eV    1.646E-02  1.208E-01    6069 A      2440 A      1591 A   
    1.7 eV    1.697E-02  1.252E-01    6224 A      2517 A      1673 A   
    1.8 eV    1.746E-02  1.295E-01    6374 A      2593 A      1750 A   
      2 eV    1.840E-02  1.378E-01    6661 A      2739 A      1890 A   
   2.25 eV    1.952E-02  1.476E-01    6997 A      2913 A      2047 A   
2.49999 eV    2.057E-02  1.569E-01    7312 A      3077 A      2188 A   
2.74999 eV    2.158E-02  1.657E-01    7610 A      3233 A      2316 A   
2.99999 eV    2.254E-02  1.741E-01    7893 A      3381 A      2435 A   
3.24999 eV    2.346E-02  1.822E-01    8164 A      3522 A      2547 A   
3.49999 eV    2.434E-02  1.900E-01    8423 A      3658 A      2652 A   
3.74999 eV    2.520E-02  1.975E-01    8672 A      3788 A      2751 A   
3.99999 eV    2.602E-02  2.047E-01    8912 A      3913 A      2845 A   
4.49999 eV    2.760E-02  2.185E-01    9370 A      4149 A      3022 A   
4.99999 eV    2.910E-02  2.315E-01    9801 A      4371 A      3185 A   
5.49999 eV    3.052E-02  2.439E-01    1.02 um     4579 A      3338 A   
5.99999 eV    3.187E-02  2.556E-01    1.06 um     4777 A      3482 A   
6.49999 eV    3.317E-02  2.668E-01    1.10 um     4966 A      3618 A   
6.99999 eV    3.443E-02  2.776E-01    1.13 um     5145 A      3747 A   
7.99999 eV    3.680E-02  2.978E-01    1.20 um     5483 A      3990 A   
8.99999 eV    3.904E-02  3.166E-01    1.27 um     5797 A      4215 A   
9.99999 eV    4.115E-02  3.343E-01    1.33 um     6092 A      4425 A   
10.9999 eV    4.316E-02  3.509E-01    1.38 um     6370 A      4623 A   
11.9999 eV    4.507E-02  3.667E-01    1.44 um     6633 A      4810 A   
12.9999 eV    4.691E-02  3.817E-01    1.49 um     6885 A      4989 A   
13.9999 eV    4.869E-02  3.959E-01    1.54 um     7125 A      5161 A   
14.9999 eV    5.039E-02  4.096E-01    1.59 um     7356 A      5325 A   
15.9999 eV    5.205E-02  4.227E-01    1.64 um     7579 A      5484 A   
16.9999 eV    5.365E-02  4.353E-01    1.69 um     7794 A      5638 A   
17.9999 eV    5.520E-02  4.474E-01    1.73 um     8002 A      5786 A   
19.9999 eV    5.819E-02  4.703E-01    1.82 um     8399 A      6071 A   
22.4999 eV    6.172E-02  4.970E-01    1.92 um     8866 A      6407 A   
24.9999 eV    6.506E-02  5.217E-01    2.02 um     9305 A      6724 A   
27.4999 eV    6.823E-02  5.448E-01    2.12 um     9722 A      7026 A   
29.9999 eV    7.127E-02  5.665E-01    2.21 um     1.01 um     7314 A   
32.4999 eV    7.418E-02  5.869E-01    2.30 um     1.05 um     7590 A   
34.9999 eV    7.698E-02  6.062E-01    2.38 um     1.09 um     7856 A   
37.4999 eV    7.968E-02  6.246E-01    2.47 um     1.12 um     8113 A   
39.9999 eV    8.229E-02  6.420E-01    2.55 um     1.16 um     8362 A   
44.9999 eV    8.729E-02  6.746E-01    2.70 um     1.22 um     8840 A   
49.9999 eV    9.201E-02  7.046E-01    2.85 um     1.28 um     9294 A   
54.9999 eV    9.650E-02  7.323E-01    3.00 um     1.34 um     9727 A   
59.9999 eV    1.008E-01  7.580E-01    3.14 um     1.40 um     1.01 um  
64.9999 eV    1.049E-01  7.821E-01    3.27 um     1.45 um     1.05 um  
69.9999 eV    1.089E-01  8.048E-01    3.40 um     1.50 um     1.09 um  
79.9999 eV    1.164E-01  8.462E-01    3.66 um     1.60 um     1.17 um  
89.9999 eV    1.234E-01  8.835E-01    3.90 um     1.69 um     1.24 um  
99.9999 eV    1.301E-01  9.174E-01    4.13 um     1.78 um     1.30 um  
    110 eV    1.365E-01  9.483E-01    4.36 um     1.87 um     1.37 um  
    120 eV    1.425E-01  9.768E-01    4.57 um     1.95 um     1.43 um  
    130 eV    1.484E-01  1.003E+00    4.79 um     2.02 um     1.49 um  
139.999 eV    1.540E-01  1.028E+00    4.99 um     2.10 um     1.55 um  
149.999 eV    1.594E-01  1.051E+00    5.20 um     2.17 um     1.61 um  
159.999 eV    1.646E-01  1.072E+00    5.40 um     2.25 um     1.66 um  
169.999 eV    1.697E-01  1.092E+00    5.59 um     2.32 um     1.72 um  
179.999 eV    1.746E-01  1.111E+00    5.78 um     2.38 um     1.77 um  
199.999 eV    1.840E-01  1.146E+00    6.16 um     2.52 um     1.87 um  
224.999 eV    1.952E-01  1.185E+00    6.62 um     2.68 um     1.99 um  
249.999 eV    2.057E-01  1.220E+00    7.06 um     2.83 um     2.11 um  
274.999 eV    2.158E-01  1.251E+00    7.49 um     2.98 um     2.23 um  
299.999 eV    2.254E-01  1.278E+00    7.91 um     3.12 um     2.34 um  
324.999 eV    2.346E-01  1.304E+00    8.32 um     3.26 um     2.44 um  
349.999 eV    2.434E-01  1.327E+00    8.72 um     3.39 um     2.55 um  
374.999 eV    2.520E-01  1.348E+00    9.12 um     3.52 um     2.65 um  
399.999 eV    2.602E-01  1.367E+00    9.51 um     3.65 um     2.75 um  
449.999 eV    2.760E-01  1.402E+00   10.28 um     3.90 um     2.95 um  
499.999 eV    2.909E-01  1.432E+00   11.03 um     4.14 um     3.13 um  
549.999 eV    3.051E-01  1.458E+00   11.76 um     4.37 um     3.32 um  
599.999 eV    3.187E-01  1.480E+00   12.48 um     4.60 um     3.49 um  
649.999 eV    3.317E-01  1.500E+00   13.19 um     4.83 um     3.67 um  
699.999 eV    3.443E-01  1.518E+00   13.89 um     5.04 um     3.83 um  
799.999 eV    3.680E-01  1.548E+00   15.27 um     5.47 um     4.16 um  
899.999 eV    3.903E-01  1.572E+00   16.61 um     5.87 um     4.48 um  
999.999 eV    4.115E-01  1.591E+00   17.93 um     6.27 um     4.78 um  
   1.10 keV   4.315E-01  1.606E+00   19.24 um     6.66 um     5.08 um  
   1.20 keV   4.507E-01  1.619E+00   20.52 um     7.04 um     5.37 um  
   1.30 keV   4.691E-01  1.628E+00   21.79 um     7.41 um     5.66 um  
   1.40 keV   4.868E-01  1.636E+00   23.05 um     7.77 um     5.94 um  
   1.50 keV   5.039E-01  1.643E+00   24.30 um     8.13 um     6.21 um  
   1.60 keV   5.205E-01  1.647E+00   25.54 um     8.49 um     6.48 um  
