    1.1 eV    1.051E-02  5.478E-02    2587 A      2995 A      2110 A   
    1.2 eV    1.051E-02  5.674E-02    2852 A      3249 A      2026 A   
    1.3 eV    1.093E-02  5.858E-02    3094 A      3320 A      2091 A   
    1.4 eV    1.135E-02  6.031E-02    3320 A      3398 A      2161 A   
    1.5 eV    1.175E-02  6.194E-02    3531 A      3480 A      2235 A   
    1.6 eV    1.213E-02  6.349E-02    3731 A      3565 A      2311 A   
    1.7 eV    1.250E-02  6.495E-02    3920 A      3654 A      2388 A   
    1.8 eV    1.287E-02  6.635E-02    4102 A      3745 A      2466 A   
      2 eV    1.356E-02  6.895E-02    4445 A      3929 A      2625 A   
   2.25 eV    1.438E-02  7.190E-02    4844 A      4165 A      2821 A   
2.49999 eV    1.516E-02  7.458E-02    5217 A      4403 A      3015 A   
2.74999 eV    1.590E-02  7.702E-02    5571 A      4641 A      3204 A   
2.99999 eV    1.661E-02  7.926E-02    5910 A      4876 A      3390 A   
3.24999 eV    1.729E-02  8.134E-02    6236 A      5108 A      3572 A   
3.49999 eV    1.794E-02  8.326E-02    6551 A      5336 A      3749 A   
3.74999 eV    1.857E-02  8.506E-02    6856 A      5561 A      3923 A   
3.99999 eV    1.918E-02  8.674E-02    7155 A      5783 A      4094 A   
4.49999 eV    2.034E-02  8.980E-02    7732 A      6210 A      4428 A   
4.99999 eV    2.144E-02  9.253E-02    8287 A      6629 A      4748 A   
5.49999 eV    2.249E-02  9.498E-02    8825 A      7036 A      5058 A   
5.99999 eV    2.349E-02  9.719E-02    9348 A      7432 A      5360 A   
6.49999 eV    2.445E-02  9.921E-02    9858 A      7818 A      5653 A   
6.99999 eV    2.537E-02  1.011E-01    1.04 um     8196 A      5939 A   
7.99999 eV    2.712E-02  1.043E-01    1.13 um     8919 A      6498 A   
8.99999 eV    2.877E-02  1.071E-01    1.23 um     9622 A      7032 A   
9.99999 eV    3.033E-02  1.096E-01    1.32 um     1.03 um     7549 A   
10.9999 eV    3.181E-02  1.117E-01    1.41 um     1.10 um     8051 A   
11.9999 eV    3.322E-02  1.136E-01    1.50 um     1.16 um     8541 A   
12.9999 eV    3.458E-02  1.153E-01    1.58 um     1.22 um     9020 A   
13.9999 eV    3.588E-02  1.168E-01    1.67 um     1.29 um     9489 A   
14.9999 eV    3.714E-02  1.181E-01    1.75 um     1.35 um     9949 A   
15.9999 eV    3.836E-02  1.193E-01    1.84 um     1.41 um     1.04 um  
16.9999 eV    3.954E-02  1.204E-01    1.92 um     1.46 um     1.08 um  
17.9999 eV    4.069E-02  1.214E-01    2.00 um     1.52 um     1.13 um  
19.9999 eV    4.289E-02  1.231E-01    2.16 um     1.63 um     1.22 um  
22.4999 eV    4.549E-02  1.248E-01    2.36 um     1.77 um     1.32 um  
24.9999 eV    4.795E-02  1.262E-01    2.56 um     1.90 um     1.42 um  
27.4999 eV    5.029E-02  1.273E-01    2.75 um     2.03 um     1.52 um  
29.9999 eV    5.253E-02  1.281E-01    2.94 um     2.16 um     1.62 um  
32.4999 eV    5.467E-02  1.288E-01    3.13 um     2.29 um     1.72 um  
34.9999 eV    5.673E-02  1.293E-01    3.31 um     2.41 um     1.81 um  
37.4999 eV    5.873E-02  1.297E-01    3.50 um     2.53 um     1.91 um  
39.9999 eV    6.065E-02  1.300E-01    3.68 um     2.65 um     2.00 um  
