    1.1 eV    8.813E-04  3.645E-03       1 A         1 A         1 A   
    1.2 eV    8.813E-04  3.841E-03       1 A         2 A         1 A   
    1.3 eV    9.172E-04  4.030E-03       1 A         2 A         1 A   
    1.4 eV    9.519E-04  4.212E-03       1 A         2 A         1 A   
    1.5 eV    9.853E-04  4.389E-03       1 A         2 A         1 A   
    1.6 eV    1.018E-03  4.560E-03       1 A         2 A         1 A   
    1.7 eV    1.049E-03  4.726E-03       1 A         2 A         1 A   
    1.8 eV    1.079E-03  4.887E-03       1 A         2 A         1 A   
      2 eV    1.138E-03  5.198E-03       1 A         2 A         1 A   
   2.25 eV    1.207E-03  5.566E-03       1 A         2 A         1 A   
2.49999 eV    1.272E-03  5.914E-03       1 A         2 A         2 A   
2.74999 eV    1.334E-03  6.246E-03       1 A         2 A         2 A   
2.99999 eV    1.393E-03  6.562E-03       1 A         2 A         2 A   
3.24999 eV    1.450E-03  6.866E-03       1 A         2 A         2 A   
3.49999 eV    1.505E-03  7.158E-03       1 A         3 A         2 A   
3.74999 eV    1.558E-03  7.439E-03       1 A         3 A         2 A   
3.99999 eV    1.609E-03  7.711E-03       2 A         3 A         2 A   
4.49999 eV    1.707E-03  8.229E-03       2 A         3 A         2 A   
4.99999 eV    1.799E-03  8.717E-03       2 A         3 A         2 A   
5.49999 eV    1.887E-03  9.179E-03       2 A         3 A         2 A   
5.99999 eV    1.971E-03  9.619E-03       2 A         3 A         2 A   
6.49999 eV    2.051E-03  1.004E-02       2 A         3 A         2 A   
6.99999 eV    2.128E-03  1.044E-02       2 A         3 A         3 A   
7.99999 eV    2.275E-03  1.120E-02       2 A         4 A         3 A   
8.99999 eV    2.413E-03  1.190E-02       2 A         4 A         3 A   
9.99999 eV    2.544E-03  1.256E-02       2 A         4 A         3 A   
10.9999 eV    2.668E-03  1.319E-02       2 A         4 A         3 A   
11.9999 eV    2.787E-03  1.378E-02       3 A         4 A         3 A   
12.9999 eV    2.901E-03  1.433E-02       3 A         5 A         3 A   
13.9999 eV    3.010E-03  1.487E-02       3 A         5 A         3 A   
14.9999 eV    3.116E-03  1.538E-02       3 A         5 A         4 A   
15.9999 eV    3.218E-03  1.587E-02       3 A         5 A         4 A   
16.9999 eV    3.317E-03  1.634E-02       3 A         5 A         4 A   
17.9999 eV    3.413E-03  1.679E-02       3 A         5 A         4 A   
19.9999 eV    3.598E-03  1.764E-02       3 A         6 A         4 A   
22.4999 eV    3.816E-03  1.864E-02       4 A         6 A         4 A   
24.9999 eV    4.022E-03  1.956E-02       4 A         6 A         5 A   
27.4999 eV    4.219E-03  2.042E-02       4 A         7 A         5 A   
29.9999 eV    4.406E-03  2.123E-02       4 A         7 A         5 A   
32.4999 eV    4.586E-03  2.199E-02       4 A         7 A         5 A   
34.9999 eV    4.759E-03  2.270E-02       4 A         7 A         5 A   
37.4999 eV    4.926E-03  2.339E-02       5 A         8 A         6 A   
39.9999 eV    5.088E-03  2.403E-02       5 A         8 A         6 A   
44.9999 eV    5.397E-03  2.525E-02       5 A         8 A         6 A   
49.9999 eV    5.689E-03  2.636E-02       5 A         9 A         7 A   
54.9999 eV    5.966E-03  2.738E-02       6 A         9 A         7 A   
59.9999 eV    6.231E-03  2.834E-02       6 A        10 A         7 A   
64.9999 eV    6.486E-03  2.923E-02       6 A        10 A         7 A   
69.9999 eV    6.731E-03  3.007E-02       7 A        11 A         8 A   
79.9999 eV    7.195E-03  3.161E-02       7 A        11 A         8 A   
89.9999 eV    7.632E-03  3.299E-02       8 A        12 A         9 A   
99.9999 eV    8.045E-03  3.424E-02       8 A        13 A         9 A   
    110 eV    8.437E-03  3.538E-02       9 A        14 A        10 A   
    120 eV    8.813E-03  3.643E-02       9 A        14 A        11 A   
    130 eV    9.172E-03  3.741E-02      10 A        15 A        11 A   
139.999 eV    9.519E-03  3.831E-02      10 A        16 A        12 A   
149.999 eV    9.853E-03  3.915E-02      11 A        16 A        12 A   
159.999 eV    1.018E-02  3.994E-02      11 A        17 A        12 A   
169.999 eV    1.049E-02  4.069E-02      12 A        17 A        13 A   
179.999 eV    1.079E-02  4.139E-02      12 A        18 A        13 A   
199.999 eV    1.138E-02  4.267E-02      13 A        19 A        14 A   
224.999 eV    1.207E-02  4.410E-02      14 A        21 A        15 A   
249.999 eV    1.272E-02  4.537E-02      15 A        22 A        16 A   
274.999 eV    1.334E-02  4.650E-02      16 A        23 A        17 A   
299.999 eV    1.393E-02  4.752E-02      17 A        25 A        18 A   
324.999 eV    1.450E-02  4.845E-02      18 A        26 A        19 A   
349.999 eV    1.505E-02  4.929E-02      20 A        27 A        20 A   
374.999 eV    1.558E-02  5.006E-02      21 A        28 A        21 A   
399.999 eV    1.609E-02  5.077E-02      22 A        30 A        22 A   
449.999 eV    1.707E-02  5.203E-02      24 A        32 A        24 A   
499.999 eV    1.799E-02  5.311E-02      26 A        34 A        26 A   
549.999 eV    1.887E-02  5.405E-02      27 A        36 A        27 A   
599.999 eV    1.971E-02  5.487E-02      29 A        39 A        29 A   
649.999 eV    2.051E-02  5.560E-02      31 A        41 A        31 A   
699.999 eV    2.128E-02  5.623E-02      33 A        43 A        32 A   
799.999 eV    2.275E-02  5.730E-02      37 A        47 A        35 A   
899.999 eV    2.413E-02  5.815E-02      41 A        51 A        39 A   
999.999 eV    2.544E-02  5.883E-02      45 A        55 A        42 A   
   1.10 keV   2.668E-02  5.937E-02      48 A        59 A        45 A   
   1.20 keV   2.787E-02  5.981E-02      52 A        63 A        48 A   
   1.30 keV   2.901E-02  6.015E-02      56 A        67 A        50 A   
   1.40 keV   3.010E-02  6.042E-02      59 A        71 A        53 A   
   1.50 keV   3.116E-02  6.063E-02      63 A        75 A        56 A   
   1.60 keV   3.218E-02  6.078E-02      67 A        78 A        59 A   
   1.70 keV   3.317E-02  6.089E-02      71 A        82 A        62 A   
   1.80 keV   3.413E-02  6.096E-02      74 A        86 A        64 A   
   2.00 keV   3.598E-02  6.101E-02      82 A        93 A        70 A   
   2.25 keV   3.816E-02  6.093E-02      91 A       102 A        77 A   
   2.50 keV   4.022E-02  6.073E-02     101 A       111 A        83 A   
   2.75 keV   4.219E-02  6.046E-02     110 A       119 A        90 A   
   3.00 keV   4.406E-02  6.012E-02     120 A       128 A        96 A   
   3.25 keV   4.586E-02  5.974E-02     129 A       136 A       102 A   
   3.50 keV   4.759E-02  5.932E-02     139 A       145 A       109 A   
