    1.1 eV    3.590E-03  8.059E-02    2637 A      1236 A       752 A   
    1.2 eV    3.590E-03  8.449E-02    2734 A      1286 A       822 A   
    1.3 eV    3.736E-03  8.821E-02    2827 A      1337 A       884 A   
    1.4 eV    3.877E-03  9.178E-02    2917 A      1387 A       939 A   
    1.5 eV    4.013E-03  9.521E-02    3003 A      1438 A       989 A   
    1.6 eV    4.145E-03  9.852E-02    3087 A      1487 A      1035 A   
    1.7 eV    4.272E-03  1.017E-01    3168 A      1536 A      1078 A   
    1.8 eV    4.396E-03  1.048E-01    3247 A      1584 A      1118 A   
      2 eV    4.634E-03  1.107E-01    3399 A      1675 A      1193 A   
   2.25 eV    4.915E-03  1.175E-01    3579 A      1783 A      1277 A   
2.49999 eV    5.181E-03  1.240E-01    3749 A      1885 A      1355 A   
2.74999 eV    5.434E-03  1.300E-01    3912 A      1982 A      1426 A   
2.99999 eV    5.676E-03  1.358E-01    4068 A      2073 A      1493 A   
3.24999 eV    5.907E-03  1.412E-01    4219 A      2161 A      1557 A   
3.49999 eV    6.130E-03  1.464E-01    4364 A      2244 A      1617 A   
3.74999 eV    6.346E-03  1.513E-01    4505 A      2325 A      1674 A   
3.99999 eV    6.554E-03  1.561E-01    4641 A      2402 A      1730 A   
4.49999 eV    6.951E-03  1.650E-01    4904 A      2548 A      1834 A   
4.99999 eV    7.327E-03  1.733E-01    5155 A      2686 A      1933 A   
5.49999 eV    7.685E-03  1.810E-01    5395 A      2816 A      2025 A   
5.99999 eV    8.027E-03  1.883E-01    5626 A      2939 A      2114 A   
6.49999 eV    8.354E-03  1.951E-01    5850 A      3057 A      2198 A   
6.99999 eV    8.670E-03  2.016E-01    6066 A      3171 A      2280 A   
7.99999 eV    9.268E-03  2.136E-01    6482 A      3385 A      2434 A   
8.99999 eV    9.830E-03  2.246E-01    6879 A      3586 A      2579 A   
9.99999 eV    1.036E-02  2.347E-01    7258 A      3775 A      2717 A   
10.9999 eV    1.087E-02  2.440E-01    7624 A      3956 A      2848 A   
11.9999 eV    1.135E-02  2.527E-01    7978 A      4129 A      2974 A   
12.9999 eV    1.181E-02  2.608E-01    8322 A      4295 A      3095 A   
13.9999 eV    1.226E-02  2.685E-01    8656 A      4455 A      3212 A   
14.9999 eV    1.269E-02  2.757E-01    8983 A      4610 A      3326 A   
15.9999 eV    1.311E-02  2.825E-01    9301 A      4760 A      3436 A   
16.9999 eV    1.351E-02  2.890E-01    9614 A      4907 A      3544 A   
